ville,mois,saison,temperature_moyenne,temp_min,temp_max,precipitations_totales,vent_moyen,score_meteo_moyen,jours_recommandes,jours_ouvres_totaux,pourcentage_recommandé,classement
Lyon,1,Hiver,4.401075268817205,-3.3,15.2,215.127,21.61989247311828,55.53763440860215,0,133,0.0,3
Lyon,2,Hiver,7.348235294117647,-2.1,14.2,133.052,22.79294117647059,58.88235294117647,0,121,0.0,1
Lyon,3,Printemps,9.480645161290322,1.5,17.3,263.645,23.52258064516129,56.55913978494624,0,133,0.0,2
Lyon,4,Printemps,12.34,1.5,20.3,319.475,22.383888888888887,57.666666666666664,0,129,0.0,2
Lyon,5,Printemps,16.36182795698925,8.8,25.5,445.301,21.672043010752688,59.56989247311828,9,132,6.8,4
Lyon,6,Été,21.49388888888889,12.6,29.8,449.186,21.10333333333333,74.27777777777777,51,129,39.5,5
Lyon,7,Été,23.115822784810128,15.0,31.0,248.904,19.748101265822783,84.17721518987342,69,113,61.1,2
Lyon,8,Été,23.230967741935483,16.3,31.4,268.608,19.650967741935485,79.29032258064517,61,111,55.0,5
Lyon,9,Automne,18.94333333333333,8.3,26.9,353.39,19.673333333333332,68.4,27,108,25.0,5
Lyon,10,Automne,14.728387096774194,8.1,22.2,555.098,22.54451612903226,57.483870967741936,1,109,0.9,5
Lyon,11,Automne,8.436666666666667,-0.1,15.8,270.428,19.749333333333333,57.666666666666664,0,108,0.0,2
Lyon,12,Hiver,5.30516129032258,-2.7,14.4,341.393,20.52193548387097,55.225806451612904,0,111,0.0,3
Marseille,1,Hiver,7.632795698924731,1.0,14.9,139.805,25.412903225806453,55.43010752688172,0,133,0.0,4
Marseille,2,Hiver,9.90470588235294,3.1,15.6,186.78199999999998,26.040000000000003,56.11764705882353,0,121,0.0,3
Marseille,3,Printemps,11.509139784946235,6.2,17.4,274.783,27.542473118279567,55.32258064516129,0,133,0.0,3
Marseille,4,Printemps,14.12388888888889,6.7,20.5,180.915,27.86,53.833333333333336,0,129,0.0,4
Marseille,5,Printemps,18.616666666666667,11.6,25.5,213.456,26.307526881720428,60.376344086021504,9,132,6.8,3
Marseille,6,Été,23.82777777777778,18.4,29.2,138.432,26.956666666666667,80.61111111111111,35,129,27.1,2
Marseille,7,Été,26.184810126582278,21.3,29.5,30.614,28.980379746835442,80.56962025316456,10,113,8.8,4
Marseille,8,Été,25.525806451612905,19.7,30.3,129.642,29.540645161290325,80.90322580645162,18,111,16.2,4
Marseille,9,Automne,21.468666666666667,13.3,26.5,257.979,27.442666666666664,72.0,20,108,18.5,2
Marseille,10,Automne,17.57741935483871,11.0,23.3,211.819,25.879354838709677,62.0,5,109,4.6,1
Marseille,11,Automne,12.058666666666666,5.4,19.8,284.72700000000003,26.18733333333333,55.0,0,108,0.0,3
Marseille,12,Hiver,8.301290322580645,1.4,15.1,216.489,26.35741935483871,55.29032258064516,0,111,0.0,2
Nice,1,Hiver,9.38494623655914,4.9,13.9,315.63100000000003,26.73978494623656,51.02150537634409,0,133,0.0,5
Nice,2,Hiver,10.884705882352941,4.6,17.7,324.80400000000003,25.368823529411763,55.23529411764706,0,121,0.0,5
Nice,3,Printemps,12.136021505376345,7.9,18.7,378.626,28.263440860215052,52.795698924731184,0,133,0.0,5
Nice,4,Printemps,14.511666666666667,8.4,19.3,358.096,25.68888888888889,53.72222222222222,0,129,0.0,5
Nice,5,Printemps,18.313440860215056,13.7,26.6,227.947,23.404301075268815,63.27956989247312,22,132,16.7,2
Nice,6,Été,22.860555555555553,17.6,28.3,105.332,22.086666666666666,86.66666666666667,81,129,62.8,1
Nice,7,Été,25.770253164556962,22.0,30.1,23.699,20.05632911392405,91.51898734177215,94,113,83.2,1
Nice,8,Été,26.02193548387097,21.0,30.2,89.857,20.78838709677419,91.03225806451613,91,111,82.0,1
Nice,9,Automne,22.368,16.0,28.7,308.989,24.619333333333334,80.46666666666667,50,108,46.3,1
Nice,10,Automne,18.216129032258063,13.4,22.5,472.99,24.45225806451613,60.32258064516129,16,109,14.7,3
Nice,11,Automne,13.660666666666666,7.7,18.5,200.396,27.012666666666668,51.46666666666667,0,108,0.0,5
Nice,12,Hiver,9.810967741935483,5.6,14.2,339.156,25.02774193548387,50.193548387096776,0,111,0.0,5
Paris,1,Hiver,5.405913978494624,-1.8,13.4,338.267,19.18225806451613,56.98924731182796,0,133,0.0,1
Paris,2,Hiver,7.509411764705882,-3.3,14.2,242.642,20.380588235294116,58.05882352941177,0,121,0.0,2
